pkt_depth,neg_f1_score,compute_cost
2,-0.8874705828887236,365.99999999999983
2,-0.8949940827110601,155.0
50,-0.8802013050667626,3254.9999999999995
2,-0.89542042341875,170.99999999999994
2,-0.9019831467995928,148.0
2,-0.8962799236298313,136.00000000000003
2,-0.8803637779499143,138.99999999999994
2,-0.899628165140716,151.0
2,-0.8874705828887236,212.99999999999997
2,-0.8411479506835978,155.0
2,-0.8729165914164534,151.99999999999997
2,-0.8874705828887236,241.99999999999997
2,-0.8959360177719802,151.99999999999997
2,-0.8374664011533284,194.99999999999991
2,-0.8962799236298313,179.0
2,-0.8995211894480735,164.99999999999991
24,-0.9311168962291784,2700.999999999998
2,-0.8431261062946087,235.99999999999983
2,-0.888249813251372,347.99999999999994
2,-0.888249813251372,239.0
2,-0.8950075848031483,183.00000000000009
2,-0.8584830106506832,140.00000000000003
14,-0.9448623159685444,1700.999999999999
2,-0.8869394498848973,168.0
2,-0.8965198444687033,143.99999999999997
10,-0.940699999731008,1052.0
2,-0.8738369295147571,163.99999999999994
2,-0.8962799236298313,200.9999999999999
2,-0.8411479506835978,246.00000000000009
2,-0.8347993189427202,200.0
2,-0.8984741348757418,216.00000000000003
2,-0.89542042341875,291.0
2,-0.8959360177719802,266.00000000000006
2,-0.8998168842662583,169.99999999999991
2,-0.8788489378909264,202.0
2,-0.8962799236298313,171.99999999999991
2,-0.9019831467995928,218.00000000000003
2,-0.8400816340008582,187.0
2,-0.8833279520482815,141.99999999999994
2,-0.8940206857927008,141.99999999999994
2,-0.8962799236298313,335.0
2,-0.89542042341875,197.0
2,-0.8869394498848973,370.0
2,-0.8874705828887236,189.0
2,-0.8874705828887236,196.0
2,-0.8962799236298313,168.0
2,-0.8874705828887236,183.99999999999991
2,-0.888249813251372,136.99999999999994
2,-0.8962799236298313,175.99999999999994
2,-0.8983490223722056,134.99999999999991
2,-0.8983490223722056,146.99999999999994
2,-0.8985333052284326,150.0
2,-0.8990846629530471,134.00000000000003
2,-0.8955142464220704,162.0
2,-0.8941504886670446,236.99999999999983
2,-0.880318237707096,214.9999999999999
37,-0.9123067603680828,3638.999999999997
2,-0.8672649196413003,136.00000000000003
2,-0.8990846629530471,136.00000000000003
2,-0.8981511453731713,145.99999999999997
2,-0.8990846629530471,190.0
2,-0.86815828401793,138.99999999999994
2,-0.8940206857927008,189.0
2,-0.8940206857927008,239.0
2,-0.8940206857927008,168.0
2,-0.8940206857927008,305.0
2,-0.8990846629530471,191.0
2,-0.8889363020315688,189.0
2,-0.8941504886670446,130.99999999999997
2,-0.8932598961960163,155.0
2,-0.8941504886670446,134.99999999999991
2,-0.8415423319507054,136.99999999999994
2,-0.8889363020315688,200.9999999999999
2,-0.8889363020315688,265.0
2,-0.866260851599437,141.00000000000003
12,-0.9626466999702262,1505.0
2,-0.894364881629251,132.0
2,-0.8924736175762916,155.0
2,-0.8941504886670446,132.0
2,-0.8678473834798465,154.00000000000003
2,-0.8946876735630767,187.0
2,-0.8936628966789714,129.99999999999994
2,-0.8991165774646935,143.99999999999997
1,-0.8734918639447093,84.00000000000001
1,-0.8734918639447093,77.0
1,-0.8734918639447093,67.00000000000001
1,-0.8184482311811985,91.99999999999994
1,-0.8734918639447093,162.0
1,-0.8734918639447093,132.0
1,-0.8734918639447093,71.99999999999999
1,-0.8734918639447093,71.0
1,-0.8734918639447093,108.99999999999994
1,-0.8734918639447093,68.00000000000001
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,91.99999999999994
1,-0.8734918639447093,93.0
1,-0.8734918639447093,62.99999999999998
1,-0.8734918639447093,64.99999999999997
1,-0.8734918639447093,94.0
1,-0.8734918639447093,94.0
1,-0.8734918639447093,105.99999999999996
1,-0.8734918639447093,96.99999999999996
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,91.0
1,-0.8734918639447093,93.0
1,-0.8734918639447093,94.0
1,-0.8184482311811985,91.99999999999994
1,-0.8734918639447093,114.0
1,-0.8734918639447093,84.00000000000001
1,-0.8734918639447093,96.99999999999996
1,-0.8734918639447093,115.0
1,-0.8734918639447093,75.0
6,-0.9409851681567164,443.0
1,-0.8734918639447093,98.99999999999996
1,-0.8734918639447093,94.0
1,-0.8734918639447093,105.99999999999996
1,-0.8734918639447093,91.99999999999994
1,-0.8734918639447093,94.0
1,-0.8734918639447093,120.00000000000004
1,-0.8734918639447093,103.99999999999996
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,68.00000000000001
1,-0.8734918639447093,168.9999999999999
1,-0.8734918639447093,94.0
1,-0.8734918639447093,89.99999999999997
1,-0.8734918639447093,87.99999999999999
1,-0.8734918639447093,86.0
1,-0.8734918639447093,107.00000000000004
1,-0.8734918639447093,93.0
12,-0.9408218342740132,1217.0000000000002
1,-0.8734918639447093,71.99999999999999
1,-0.8734918639447093,77.0
1,-0.8734918639447093,93.0
1,-0.8734918639447093,63.99999999999998
1,-0.8734918639447093,78.0
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,89.99999999999997
1,-0.8734918639447093,94.0
1,-0.8734918639447093,65.99999999999997
1,-0.8184482311811985,93.0
1,-0.8734918639447093,81.00000000000001
1,-0.8734918639447093,76.00000000000001
1,-0.8734918639447093,64.99999999999997
1,-0.8734918639447093,110.99999999999996
1,-0.8734918639447093,64.99999999999997
1,-0.8734918639447093,93.0
1,-0.8734918639447093,116.99999999999991
1,-0.8734918639447093,91.99999999999994
1,-0.8734918639447093,93.0
1,-0.8734918639447093,86.0
1,-0.8734918639447093,77.0
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,68.99999999999996
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,94.0
1,-0.8734918639447093,94.0
1,-0.8734918639447093,82.99999999999999
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,71.0
1,-0.8734918639447093,91.0
1,-0.8734918639447093,129.99999999999994
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,91.99999999999994
1,-0.8734918639447093,79.99999999999996
1,-0.8734918639447093,86.0
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,70.0
1,-0.8734918639447093,65.99999999999997
22,-0.9415200738629848,1711.9999999999995
1,-0.8734918639447093,68.00000000000001
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,65.99999999999997
25,-0.9612817858682402,3212.9999999999995
1,-0.8734918639447093,93.0
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,78.0
1,-0.8734918639447093,84.99999999999997
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,64.99999999999997
1,-0.8734918639447093,62.99999999999998
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,65.99999999999997
1,-0.8734918639447093,91.99999999999994
1,-0.8734918639447093,68.99999999999996
1,-0.8734918639447093,94.0
1,-0.8734918639447093,64.99999999999997
1,-0.8734918639447093,64.99999999999997
12,-0.9628616684020196,1634.0000000000002
1,-0.8734918639447093,65.99999999999997
34,-0.924509743415163,4919.0
34,-0.9212708916669984,5546.999999999999
34,-0.9257843393176992,4447.000000000001
34,-0.9039802820931936,4922.999999999998
34,-0.9104742495129572,5095.000000000001
34,-0.9139573629480272,4939.000000000003
34,-0.9369841193105404,3963.000000000002
34,-0.9271946225072416,5682.999999999995
34,-0.919548431604012,5147.000000000003
34,-0.9180608234592804,4718.999999999995
1,-0.5557775018082439,129.99999999999994
1,-0.5557775018082439,110.99999999999996
1,-0.5557775018082439,103.0
6,-0.9277904476484738,698.9999999999998
1,-0.740960209340618,113.00000000000004
20,-0.9240344019809354,2306.999999999999
3,-0.92185869160678,498.99999999999983
1,-0.5557775018082439,121.00000000000004
1,-0.1956014428778258,118.00000000000004
1,-0.7985027289542492,112.00000000000004
38,-0.9238567818015716,4946.999999999999
1,-0.7951443329642743,108.99999999999994
1,-0.7794718984883,121.00000000000004
8,-0.9513092350523296,1126.9999999999995
1,-0.7951443329642743,163.99999999999994
1,-0.5557775018082439,105.99999999999996
1,-0.8734918639447093,130.99999999999997
1,-0.7951443329642743,103.99999999999996
1,-0.5557775018082439,123.99999999999994
1,-0.5557775018082439,130.99999999999997
1,-0.7985027289542492,134.00000000000003
1,-0.7951443329642743,118.99999999999996
1,-0.7951443329642743,96.99999999999996
47,-0.921510425380591,7490.999999999994
16,-0.9031209892339646,2341.0
1,-0.8734918639447093,140.00000000000003
1,-0.8734918639447093,98.99999999999996
1,-0.8734918639447093,110.99999999999996
1,-0.8734918639447093,91.99999999999994
38,-0.934934568439334,5323.000000000003
1,-0.8734918639447093,95.0
1,-0.8734918639447093,134.00000000000003
1,-0.8734918639447093,136.99999999999994
1,-0.8734918639447093,129.99999999999994
1,-0.8734918639447093,123.99999999999994
1,-0.8734918639447093,100.00000000000004
1,-0.8734918639447093,116.00000000000004
1,-0.8734918639447093,100.00000000000004
1,-0.8250605616479761,86.0
25,-0.9215598062320366,3299.0
1,-0.8734918639447093,116.00000000000004
1,-0.8250605616479761,107.99999999999996
1,-0.8250605616479761,118.99999999999996
1,-0.8062286485747332,162.99999999999991
1,-0.5652658182380194,109.99999999999996
1,-0.8250605616479761,79.99999999999996
1,-0.8734918639447093,107.99999999999996
13,-0.9369189542780252,1796.9999999999995
1,-0.8062286485747332,102.0
6,-0.9410397381975276,746.0000000000001
1,-0.8250605616479761,107.99999999999996
1,-0.8184482311811985,104.99999999999996
1,-0.8250605616479761,113.00000000000004
1,-0.7985027289542492,109.99999999999996
1,-0.8250605616479761,84.99999999999997
1,-0.8250605616479761,107.00000000000004
1,-0.8250605616479761,95.0
1,-0.8250605616479761,84.00000000000001
1,-0.8250605616479761,91.0
1,-0.8250605616479761,104.99999999999996
1,-0.8184482311811985,130.99999999999997
19,-0.9395876448375248,2841.0
1,-0.8250605616479761,107.99999999999996
1,-0.8184482311811985,129.99999999999994
1,-0.8373355785136807,94.0
1,-0.8250605616479761,81.00000000000001
1,-0.8250605616479761,82.99999999999999
1,-0.8250605616479761,94.0
11,-0.937299880341353,1636.0
1,-0.8734918639447093,121.00000000000004
1,-0.8250605616479761,110.99999999999996
1,-0.8734918639447093,98.0
1,-0.8734918639447093,91.0
1,-0.8250605616479761,123.99999999999994
1,-0.8250605616479761,98.99999999999996
1,-0.8250605616479761,200.9999999999999
1,-0.8250605616479761,91.99999999999994
