dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
true,true,false,true,false,true,true,true,true,true,true,false,false,true,false,false,false,true,false,true,true,true,true,false,true,false,false,false,true,true,false,true,true,false,false,false,false,false,true,true,false,true,true,false,true,true,true,false,true,true,false,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,5,-0.9014156569221525,824.9999999999997,2470263
true,true,false,true,true,false,true,false,true,true,true,false,true,true,false,false,true,true,true,true,true,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,true,false,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,2,-0.8545059233978354,284.00000000000006,2546394
true,false,false,true,false,true,true,true,false,true,true,true,false,true,true,false,false,true,false,true,true,true,true,true,true,true,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,true,true,true,true,false,false,false,false,false,false,true,false,false,false,true,true,false,false,true,3,-0.9189348635988184,608.0000000000001,2622570
false,true,false,true,true,false,true,false,true,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,true,false,false,false,true,false,false,true,true,true,false,false,true,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,true,false,true,3,-0.9134486511195858,579.9999999999998,2698848
false,false,false,false,true,false,false,false,false,true,false,true,false,true,false,true,false,true,false,true,false,true,true,false,false,false,true,true,false,true,false,false,false,false,true,false,true,false,false,true,false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,false,true,false,false,false,false,true,false,true,true,false,true,21,-0.8985695185907041,2776.9999999999986,2776341
true,true,true,true,false,true,true,true,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,true,true,true,false,false,true,true,false,true,true,false,false,false,false,false,false,false,true,false,true,false,true,true,false,true,false,true,true,true,false,false,true,true,false,false,true,false,false,false,true,true,false,false,true,5,-0.922231966229288,908.0,2854816
false,true,true,true,false,false,false,true,true,false,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,true,true,false,false,false,true,false,true,true,false,false,false,true,true,false,false,true,12,-0.9410669868755027,1780.9999999999995,2933301
true,true,false,true,false,false,true,false,true,true,false,false,false,false,true,false,false,false,false,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,20,-0.9286795072300297,3024.9999999999973,3011560
true,true,false,true,true,false,true,false,false,true,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true,1,-0.8184482311811985,162.0,3086908
false,true,false,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,false,true,true,true,false,true,false,true,false,false,false,false,false,true,true,false,false,true,false,false,false,false,true,true,true,false,false,true,false,false,false,true,false,true,true,true,false,false,false,false,true,false,false,false,false,true,true,true,true,1,-0.5557775018082439,148.0,3162385
