dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false,true,false,true,true,true,true,true,false,true,false,true,false,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,false,true,false,true,true,true,false,false,false,true,false,false,true,true,false,true,true,false,3,-0.9067257843982945,615.9999999999995,2018590
false,false,false,false,true,true,false,false,true,false,false,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,false,true,false,true,true,2,-0.8392500580333332,238.99999999999997,2091438
true,true,false,false,true,true,true,false,true,true,true,false,false,true,false,true,false,true,true,true,false,true,true,false,true,true,false,false,false,true,false,true,false,false,true,false,true,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,true,true,true,true,false,false,true,false,false,true,true,false,true,true,false,1,-0.5557775018082439,120.00000000000003,2162150
true,true,true,false,false,true,false,false,true,true,false,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,false,false,false,false,false,true,false,true,true,true,true,true,true,false,false,false,false,true,true,false,false,true,false,true,true,true,false,false,false,false,true,false,true,true,false,true,true,false,16,-0.9356160970345265,1787.9999999999993,2237101
false,false,false,false,false,false,false,false,true,false,true,true,false,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,false,false,true,false,true,false,10,-0.9005137170639079,1331.9999999999993,2312276
true,true,true,false,true,true,false,false,true,true,true,true,false,false,false,true,false,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,false,false,true,true,true,true,true,false,false,true,true,false,true,false,false,true,false,true,true,true,false,false,true,false,true,false,true,true,false,true,true,false,17,-0.9240414719979543,2632.999999999999,2388578
true,true,false,false,false,true,false,false,true,true,true,true,false,true,true,false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,true,false,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,false,1,-0.5557775018082439,108.99999999999994,2474335
true,false,true,true,true,false,true,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,true,true,false,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,false,false,true,true,true,true,false,true,false,false,true,false,true,false,true,false,true,false,true,false,false,false,false,2,-0.8938215785844214,246.00000000000006,2547221
true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,false,true,false,true,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,true,true,true,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,5,-0.9676466168710398,653.0000000000001,2621271
true,false,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,false,true,true,true,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,true,false,false,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,true,true,false,false,false,true,false,false,8,-0.9086766004370084,1120.0,2696553
true,false,true,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false,true,false,true,true,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,false,true,true,false,true,true,false,false,false,4,-0.8943585778609364,765.9999999999999,2770420
true,true,false,false,false,true,false,false,true,true,false,true,false,false,true,true,false,true,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,false,false,true,false,true,true,true,false,true,true,false,false,true,false,false,true,false,true,false,true,false,false,6,-0.9242625436782793,601.9999999999997,2845556
true,true,true,false,true,true,false,false,true,false,false,false,true,true,true,true,false,true,false,false,true,true,true,false,true,false,true,false,false,false,false,true,true,false,false,true,true,true,true,false,true,false,true,false,false,false,false,true,false,true,true,true,false,true,true,false,false,false,true,true,true,false,false,false,true,false,false,7,-0.9186798135498128,831.0000000000001,2921625
true,true,true,false,true,false,false,false,false,true,false,false,true,true,true,false,false,true,true,false,false,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,false,false,false,true,true,true,true,false,true,false,true,false,false,true,false,true,true,true,false,true,true,false,false,false,5,-0.9606060327444291,847.0,3000884
