s_winsize_std,s_winsize_mean,s_winsize_sum,s_winsize_med,d_winsize_mean,d_winsize_sum,d_winsize_std,d_winsize_med,d_ttl_sum,s_bytes_sum,s_bytes_std,s_bytes_mean,d_winsize_min,s_bytes_max,d_bytes_sum,d_bytes_mean,d_bytes_std,dur,d_winsize_max,d_iat_max,s_iat_sum,s_winsize_min,d_iat_sum,s_iat_max,d_load,d_ttl_mean,d_ttl_min,d_ttl_max,s_iat_std,d_ttl_med,s_iat_mean,s_load,s_winsize_max,d_iat_mean,d_bytes_max,syn_ack,d_iat_med,tcp_rtt,ack_cnt,d_bytes_med,s_port,d_iat_std,s_iat_med,s_ttl_sum,d_iat_min,d_port,d_pkt_cnt,s_pkt_cnt,psh_cnt,ack_dat,s_iat_min,s_bytes_med,s_ttl_max,s_ttl_min,d_bytes_min,s_ttl_med,s_ttl_mean,s_bytes_min,fin_cnt,rst_cnt,syn_cnt,d_ttl_std,cwr_cnt,proto,s_ttl_std,ece_cnt,pkt_depth,neg_f1_score,compute_cost,Timestamp
true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,1,-0.899375627629173,51.0,1129821
true,false,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,-0.899375627629173,59.0,1159813
true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,1,-0.8116461130299847,60.0,1189236
false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,-0.9687145780666908,160.0,1218886
true,false,true,true,true,true,false,false,false,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,1,-0.899375627629173,60.0,1248045
true,true,true,true,true,true,false,false,true,true,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,-0.9677018618394296,102.0,1277083
true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,-0.9715189256209861,150.0,1306264
true,true,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,1,-0.899375627629173,60.0,1335988
true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,true,1,-0.899375627629173,51.0,1365439
true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,-0.899375627629173,70.0,1395129
true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,2,-0.9687145780666908,160.0,1424641
true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,1,-0.7960531023770903,60.0,1454511
true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,2,-0.9715927338659529,150.0,1483801
true,true,true,true,true,false,false,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,1,-0.899375627629173,60.0,1512708
true,false,false,true,true,false,false,false,true,true,false,true,false,false,true,false,true,true,true,false,true,false,false,false,true,false,true,false,true,true,false,true,false,true,false,true,true,false,true,true,true,false,false,true,false,false,false,true,true,true,false,true,true,true,true,false,false,false,false,true,false,false,true,false,true,true,6,-0.9400233844757847,361.0,1538377
true,true,true,true,true,true,false,false,true,true,false,false,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,1,-0.8116461130299847,60.0,1567025
true,false,false,true,false,true,true,true,false,true,true,true,false,false,false,false,true,false,false,false,true,false,false,true,true,true,false,false,false,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,false,true,1,-0.7960531023770903,70.0,1591225
true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,2,-0.9687145780666908,151.0,1620319
true,false,true,false,false,false,true,false,false,false,true,true,true,true,false,true,true,true,false,true,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,false,true,false,true,true,true,false,false,true,true,true,false,true,false,false,false,true,true,false,false,true,true,false,false,false,true,false,true,true,true,1,-0.899375627629173,70.0,1644506
true,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,1,-0.899375627629173,51.0,1673899
true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,1,-0.899375627629173,60.0,1703018
true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,2,-0.9721716459348576,150.0,1732283
true,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,2,-0.8974568129899781,129.0,1761199
true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,2,-0.9718833225619955,150.0,1790679
true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,-0.899375627629173,60.0,1819799
true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,false,true,true,false,true,false,true,true,true,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,2,-0.9715189256209861,160.0,1849447
true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,2,-0.9687145780666908,160.0,1878889
