s_winsize_std,s_winsize_mean,s_winsize_sum,s_winsize_med,d_winsize_mean,d_winsize_sum,d_winsize_std,d_winsize_med,d_ttl_sum,s_bytes_sum,s_bytes_std,s_bytes_mean,d_winsize_min,s_bytes_max,d_bytes_sum,d_bytes_mean,d_bytes_std,dur,d_winsize_max,d_iat_max,s_iat_sum,s_winsize_min,d_iat_sum,s_iat_max,d_load,d_ttl_mean,d_ttl_min,d_ttl_max,s_iat_std,d_ttl_med,s_iat_mean,s_load,s_winsize_max,d_iat_mean,d_bytes_max,syn_ack,d_iat_med,tcp_rtt,ack_cnt,d_bytes_med,s_port,d_iat_std,s_iat_med,s_ttl_sum,d_iat_min,d_port,d_pkt_cnt,s_pkt_cnt,psh_cnt,ack_dat,s_iat_min,s_bytes_med,s_ttl_max,s_ttl_min,d_bytes_min,s_ttl_med,s_ttl_mean,s_bytes_min,fin_cnt,rst_cnt,syn_cnt,d_ttl_std,cwr_cnt,proto,s_ttl_std,ece_cnt,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,true,true,false,true,false,true,false,true,true,true,false,false,true,true,true,true,true,false,false,true,false,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,false,5,-0.9634412379418731,290.0,1170492
false,true,true,true,false,true,false,true,false,false,true,false,true,true,false,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false,true,true,false,true,false,false,true,false,false,true,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,true,true,9,-0.9473963594491474,542.0,1201861
false,false,true,false,true,true,false,true,false,false,true,true,false,false,true,true,true,true,true,true,true,false,true,false,false,true,false,false,true,true,false,true,true,false,false,true,true,true,false,false,false,true,false,true,false,false,false,false,true,false,true,true,true,false,false,false,false,true,true,true,true,false,true,false,false,true,2,-0.921449658610937,110.0,1231431
false,false,false,false,false,true,false,true,false,false,false,false,true,false,true,false,true,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,false,false,false,false,true,true,true,true,true,false,true,true,false,true,true,true,false,false,true,true,true,false,true,4,-0.8584431789084944,200.0,1261625
false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,3,-0.921706237264908,262.0,1292890
false,true,true,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,false,true,false,true,false,true,true,true,false,true,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,7,-0.9426787947163281,371.0,1323631
false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,true,false,true,true,false,true,true,false,false,false,false,true,false,true,false,false,false,false,true,true,true,true,false,false,true,true,true,false,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false,true,false,false,2,-0.9716680161288445,151.0,1353137
false,false,true,true,false,true,true,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,true,false,false,true,true,false,true,true,false,true,true,false,true,false,true,false,true,true,false,false,false,false,true,true,true,true,true,false,true,false,false,false,false,true,false,false,true,false,false,true,true,true,false,true,1,-0.8116461130299847,80.0,1382899
false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,false,true,true,false,true,true,false,false,false,6,-0.9344368341738705,300.0,1415167
false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,true,true,false,true,false,true,true,true,true,true,false,true,false,false,false,true,true,false,true,true,false,false,false,true,true,false,false,true,true,false,true,false,false,false,true,true,false,false,true,false,4,-0.9585775009661955,239.0,1445439
