s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,timestamp
True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,-0.8626315181258094,351.0,1358903.0,11
True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-0.8734918639447093,168.0,1425436.0,12
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,True,True,True,False,False,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2,-0.9068427630281948,365.0,1491207.0,12
True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,6,-0.9062308588031868,807.0,1559275.0,12
False,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,True,True,False,6,-0.9246431904836936,767.0,1621624.0,12
True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,8,-0.9388860021691244,1222.0,1689432.0,13
False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,False,True,False,True,False,True,False,True,False,4,-0.9302647103271996,672.0,1755791.0,13
False,True,True,False,True,False,False,True,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,True,False,True,True,False,False,8,-0.913177376644582,1254.0,1823260.0,13
False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,True,True,False,True,True,False,1,-0.8734918639447093,137.0,1887928.0,13
False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2,-0.8829175010168033,378.0,1953731.0,14
True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,18,-0.8675043946345935,2597.0,2020887.0,14
False,True,True,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,10,-0.9526074640164078,1360.0,2083936.0,14
False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1,-0.8184482311811985,154.0,2147487.0,14
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,True,True,True,True,True,False,False,True,True,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,43,-0.9264613521911246,6243.0,2215659.0,15
