dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
false,false,true,false,false,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,true,true,false,false,true,false,false,true,false,false,false,true,true,true,false,true,true,true,false,true,true,false,true,true,true,false,true,false,7,-0.9508322123518581,923.9999999999998,4430394
false,false,false,false,true,false,true,true,false,false,true,true,false,false,true,false,false,false,true,false,false,true,false,true,false,true,true,false,true,true,false,false,false,false,false,false,false,true,true,true,false,true,true,false,true,false,false,true,false,false,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,true,7,-0.9434724426076044,831.0000000000001,4500507
false,false,false,false,true,false,true,true,true,false,false,true,false,true,true,false,false,false,false,true,false,true,true,true,false,false,true,false,true,true,false,false,false,true,false,true,true,true,true,true,false,true,false,false,true,false,false,false,true,false,false,true,true,false,true,false,true,false,false,true,false,true,false,true,false,true,false,7,-0.9342477328625362,828.9999999999998,4570464
false,false,true,false,false,true,true,false,true,false,true,false,true,true,false,true,false,true,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,true,false,true,true,true,false,true,true,false,false,true,false,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,false,true,true,false,7,-0.898350867529474,823.9999999999999,4640313
false,false,true,false,false,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,true,true,false,true,true,false,false,false,false,false,true,false,true,true,true,true,true,true,false,false,false,false,false,false,true,true,true,false,false,true,false,true,true,true,true,false,true,true,true,true,true,false,7,-0.9170799950641089,839.9999999999994,4710632
false,true,true,false,false,true,true,false,false,true,true,false,true,true,false,true,false,true,false,true,false,true,false,true,false,true,true,false,true,false,false,true,false,false,false,true,true,false,true,true,false,false,true,true,false,false,true,false,false,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,false,7,-0.9391655499651269,991.9999999999994,4781241
false,false,true,false,false,true,true,false,true,true,true,false,true,true,false,true,true,true,false,true,false,true,false,true,false,false,true,false,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,true,true,false,7,-0.9657443442266658,1026.9999999999995,4851657
true,false,false,true,true,false,true,false,false,false,true,true,false,true,true,false,true,false,true,false,false,true,false,true,true,true,true,false,true,true,true,false,false,true,false,true,false,true,true,true,false,true,false,false,false,false,true,false,true,false,false,true,true,false,true,false,true,false,true,true,false,true,true,true,true,true,false,7,-0.9501995311343137,804.9999999999998,4922701
true,false,true,false,false,true,true,false,true,true,false,false,true,true,false,true,false,false,false,false,false,true,false,true,false,false,true,false,true,false,true,false,false,false,false,false,true,false,true,false,true,true,true,true,false,false,true,false,false,false,true,true,false,false,true,true,false,true,true,true,false,true,true,true,true,false,false,7,-0.9619624177932308,891.9999999999997,4992891
false,false,true,false,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,false,true,false,false,false,false,true,false,true,true,false,false,false,false,true,true,true,true,true,false,true,true,true,true,false,false,true,false,false,false,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,7,-0.9507690572271497,882.9999999999999,5062671
false,false,true,true,false,false,false,false,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,false,false,true,false,true,false,true,false,false,true,true,false,true,false,true,true,true,false,false,false,false,false,true,true,true,true,false,false,true,false,false,true,false,true,false,true,true,false,true,true,true,true,true,false,7,-0.9577556398717163,897.9999999999998,5133431
false,false,false,false,false,true,true,false,true,true,true,false,true,true,false,true,true,false,false,false,false,true,false,true,true,false,false,false,true,false,false,true,false,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,false,7,-0.9155406182624811,965.9999999999999,5203826
false,false,false,true,true,true,true,false,false,false,true,true,false,true,true,false,false,true,true,false,false,true,false,true,false,false,false,false,true,false,true,false,false,true,false,true,false,false,true,true,false,true,false,false,false,true,false,false,true,false,false,true,true,false,true,false,true,false,false,true,false,true,true,true,true,true,false,7,-0.9415649571201591,848.9999999999997,5273674
false,false,true,true,true,true,false,false,false,true,true,true,true,true,false,true,false,false,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true,false,true,false,false,false,true,true,false,false,false,false,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,false,7,-0.932324249799748,1227.9999999999995,5345451
false,true,true,false,false,true,true,false,true,true,true,true,false,true,true,true,true,false,false,false,false,true,false,true,false,true,true,false,true,true,false,false,false,false,false,true,false,true,true,false,true,true,true,false,false,false,true,false,false,false,false,true,false,false,true,false,true,true,false,true,false,true,true,true,false,true,false,7,-0.9558323696964113,799.9999999999997,5415714
false,false,true,false,true,true,true,false,true,false,true,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,true,true,false,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,false,7,-0.9507542146849183,877.9999999999998,5486227
false,false,true,false,false,true,true,true,true,true,true,false,true,true,false,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,false,false,true,false,false,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,false,7,-0.9664160168265511,905.9999999999997,5556197
