eval_count,tr_idx,cont_length,disc_length,num_points,n_successes,n_failures,restarted_this_step
111,1,0.4,16,86,0,2,False
112,0,0.4,16,90,0,7,False
112,1,0.4,16,87,0,3,False
113,0,0.4,16,91,0,8,False
113,1,0.4,16,88,0,3,False
114,0,0.4,16,92,0,9,False
114,1,0.4,16,89,0,3,False
115,0,0.4,16,93,0,10,False
115,1,0.4,16,90,0,3,False
116,0,0.4,16,94,0,11,False
116,1,0.4,16,91,0,3,False
117,0,0.4,16,95,0,11,False
117,1,0.4,16,92,0,4,False
118,0,0.4,16,96,0,11,False
118,1,0.4,16,93,1,0,False
119,0,0.4,16,96,0,11,False
119,1,0.4,16,94,0,1,False
120,0,0.4,16,97,0,11,False
120,1,0.4,16,95,0,2,False
121,0,0.4,16,98,0,12,False
121,1,0.4,16,96,0,2,False
122,0,0.4,16,99,0,13,False
122,1,0.4,16,97,0,2,False
123,0,0.4,16,100,0,14,False
123,1,0.4,16,97,0,2,False
124,0,0.4,16,101,0,15,False
124,1,0.4,16,98,0,2,False
125,0,0.4,16,102,0,16,False
125,1,0.4,16,99,0,2,False
126,0,0.4,16,103,0,16,False
126,1,0.4,16,100,0,3,False
127,0,0.4,16,104,0,17,False
127,1,0.4,16,100,0,3,False
128,0,0.4,16,105,0,17,False
128,1,0.4,16,101,0,4,False
129,0,0.4,16,106,0,17,False
129,1,0.4,16,102,0,5,False
130,0,0.4,16,107,0,18,False
130,1,0.4,16,102,0,5,False
131,0,0.4,16,108,0,18,False
131,1,0.4,16,103,0,6,False
132,0,0.4,16,109,0,18,False
132,1,0.4,16,104,0,7,False
133,0,0.4,16,110,0,19,False
133,1,0.4,16,105,0,7,False
134,0,0.4,16,111,0,20,False
134,1,0.4,16,106,0,7,False
135,0,0.4,16,112,0,21,False
135,1,0.4,16,107,0,7,False
136,0,0.2,8,23,0,0,False
136,1,0.4,16,108,0,7,False
137,0,0.2,8,24,1,0,False
137,1,0.4,16,109,0,7,False
138,0,0.2,8,24,1,0,False
138,1,0.4,16,110,0,8,False
139,0,0.2,8,24,1,0,False
139,1,0.4,16,111,0,9,False
140,0,0.2,8,24,1,0,False
140,1,0.4,16,112,0,10,False
141,0,0.2,8,24,1,0,False
141,1,0.4,16,113,0,11,False
142,0,0.2,8,25,0,1,False
142,1,0.4,16,114,0,11,False
143,0,0.2,8,25,0,1,False
143,1,0.4,16,115,0,12,False
144,0,0.2,8,26,0,2,False
144,1,0.4,16,115,0,12,False
145,0,0.2,8,26,0,2,False
145,1,0.4,16,116,0,13,False
146,0,0.2,8,27,0,3,False
146,1,0.4,16,117,0,13,False
147,0,0.2,8,27,0,3,False
147,1,0.4,16,118,0,14,False
148,0,0.2,8,27,0,3,False
148,1,0.4,16,119,0,15,False
149,0,0.2,8,27,0,3,False
149,1,0.4,16,120,0,16,False
150,0,0.2,8,27,0,3,False
150,1,0.4,16,121,0,17,False
151,0,0.2,8,27,0,3,False
151,1,0.4,16,122,0,18,False
152,0,0.2,8,27,0,3,False
152,1,0.4,16,130,0,19,False
153,0,0.2,8,28,0,4,False
153,1,0.4,16,131,0,19,False
154,0,0.2,8,29,0,5,False
154,1,0.4,16,132,0,19,False
155,0,0.2,8,30,0,6,False
155,1,0.4,16,133,0,19,False
156,0,0.2,8,30,0,6,False
156,1,0.4,16,134,0,20,False
157,0,0.2,8,30,0,6,False
157,1,0.4,16,135,0,21,False
158,0,0.2,8,30,0,6,False
158,1,0.2,8,24,0,0,False
159,0,0.2,8,30,0,6,False
159,1,0.2,8,10,1,0,False
160,0,0.2,8,30,0,6,False
