s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,timestamp
True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,False,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,7,-0.9542908241635664,936.0,1979880.0,13
True,True,True,False,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,1,-0.8734918639447093,119.0,2044283.0,13
True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,True,False,False,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,1,-0.8184482311811985,134.0,2109011.0,14
False,True,False,False,True,False,True,False,False,False,True,True,False,True,True,True,False,True,False,False,True,False,False,False,True,False,True,True,True,False,True,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False,3,-0.9016427354303496,436.0,2174375.0,14
False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,False,True,False,False,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,True,True,False,True,True,False,False,True,False,True,False,True,True,True,2,-0.8998992118637469,334.0,2239236.0,14
False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,False,True,True,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,True,False,False,False,False,1,-0.7951443329642743,126.0,2304003.0,14
True,True,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,False,False,False,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,16,-0.8996932814011878,2095.0,2371554.0,15
True,True,True,False,True,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1,-0.7951443329642743,92.0,2436205.0,15
False,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,2,-0.8987402378676247,319.0,2502525.0,15
True,False,True,False,True,False,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,11,-0.9314880295961656,1305.0,2569644.0,15
False,True,False,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,1,-0.8184482311811985,155.0,2633480.0,16
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,1,-0.5557775018082439,154.0,2697217.0,16
False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,1,-0.5557775018082439,134.0,2761938.0,16
True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False,False,True,True,False,False,True,True,True,True,True,False,False,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,1,-0.8734918639447093,134.0,2826190.0,16
True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,True,True,18,-0.9051398125274828,2311.0,2893151.0,17
True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,-0.7794718984883,129.0,2957803.0,17
True,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,5,-0.9595215073046006,701.0,3023672.0,17
False,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,1,-0.7951443329642743,189.0,3088912.0,17
False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,30,-0.903047226337572,4053.0,3157489.0,18
True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,True,True,True,True,False,False,True,False,True,True,True,False,False,False,False,True,False,True,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2,-0.8803116193815262,217.0,3224241.0,18
True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1,-0.8734918639447093,123.0,3290028.0,18
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,True,False,False,True,False,True,False,True,True,True,False,False,True,False,True,False,False,False,2,-0.83183036118263,439.0,3355622.0,18
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,True,1,-0.8734918639447093,138.0,3421350.0,19
True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,4,-0.9382841030530826,603.0,3487903.0,19
False,True,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,True,False,True,True,True,True,False,True,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,True,False,True,False,4,-0.9622703231604692,696.0,3554557.0,19
False,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,5,-0.9035503187478956,561.0,3620656.0,19
True,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,5,-0.9088311368311052,799.0,3686708.0,20
True,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False,False,False,1,-0.8734918639447093,149.0,3751717.0,20
False,True,True,False,False,False,True,False,False,True,False,True,False,True,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,False,42,-0.8916741774493879,5555.0,3813682.0,20
True,False,False,False,False,True,True,True,False,True,False,False,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,False,True,True,False,False,True,False,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,4,-0.9334074498683924,517.0,3880431.0,20
True,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,True,True,False,False,False,False,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,1,-0.5557775018082439,117.0,3943425.0,21
False,True,True,True,False,True,False,False,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,41,-0.9432202944307558,5435.0,4006385.0,21
False,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,10,-0.9608946123179762,1638.0,4076075.0,21
True,True,True,False,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,4,-0.91551357118001,727.0,4143986.0,21
False,True,True,False,True,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,4,-0.9237528004224635,647.0,4212613.0,22
True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,1,-0.5557775018082439,191.0,4276287.0,22
False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,False,False,True,False,True,False,1,-0.7343569046213958,108.0,4342243.0,22
True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1,-0.8184482311811985,107.0,4406081.0,22
